-8.58, 82.43, 0
-9.03, 82.12, 0
-9.91, 81.37, 0
-10.38, 80.75, 0
-10.76, 79.79, 0
-11.10, 78.67, 0
-11.26, 77.39, 0
-11.46, 76.33, 0
-11.72, 75.32, 0
-11.88, 74.20, 0
-12.78, 74.08, 0
-13.41, 74.53, 0
-13.51, 75.24, 0
-13.68, 76.07, 0
-13.77, 77.29, 0
-13.91, 78.17, 0
-14.03, 78.92, 0
-14.08, 79.98, 0
-13.98, 80.94, 0
-14.12, 81.44, 0
-15.20, 82.04, 0
-16.35, 82.25, 0
-17.18, 82.22, 0
-18.22, 81.60, 0
-18.98, 80.72, 0
-19.23, 79.93, 0
-19.52, 79.13, 0
-19.47, 78.77, 0
-19.12, 77.79, 0
-19.10, 76.57, 0
-18.89, 74.77, 0
-18.52, 72.43, 0
-18.01, 70.70, 0
-17.23, 68.04, 0
-17.01, 66.33, 0
-17.02, 64.85, 0
-18.17, 64.71, 0
-19.15, 66.66, 0
-19.92, 68.21, 0
-20.67, 70.02, 0
-21.31, 71.25, 0
-21.92, 73.87, 0
-21.78, 75.72, 0
-21.64, 77.10, 0
-22.08, 79.04, 0
-23.25, 79.57, 0
-25.91, 79.35, 0
-29.28, 79.08, 0
-31.58, 78.13, 0
-33.26, 75.68, 0
-32.91, 73.78, 0
-31.68, 71.80, 0
-29.84, 70.34, 0
-29.09, 68.98, 0
-28.41, 66.85, 0
-28.55, 64.96, 0
-29.81, 64.88, 0
-31.63, 66.80, 0
-33.68, 69.80, 0
-35.19, 70.95, 0
-37.19, 71.45, 0
-38.10, 70.89, 0
-39.05, 69.32, 0
-39.23, 67.58, 0
-37.35, 65.48, 0
-36.29, 64.59, 0
-35.26, 63.48, 0
-34.49, 62.57, 0
-33.19, 61.53, 0
-33.90, 61.04, 0
-35.06, 61.72, 0
-36.93, 62.73, 0
-38.60, 63.59, 0
-40.45, 63.36, 0
-41.80, 62.56, 0
-42.84, 61.03, 0
-43.83, 59.35, 0
-42.92, 57.88, 0
-41.76, 56.32, 0
-40.33, 55.83, 0
-38.62, 55.38, 0
-37.45, 55.01, 0
-36.22, 54.57, 0
-34.83, 53.99, 0
-32.85, 53.54, 0
-31.93, 52.99, 0
-31.42, 52.04, 0
-32.90, 51.83, 0
-34.10, 52.02, 0
-35.47, 52.44, 0
-36.92, 53.08, 0
-38.06, 53.43, 0
-39.49, 53.39, 0
-40.75, 53.09, 0
-42.15, 53.04, 0
-43.92, 53.79, 0
-44.81, 54.14, 0
-46.39, 54.26, 0
-47.18, 53.89, 0
-48.39, 52.98, 0
-49.06, 51.93, 0
-49.81, 50.51, 0
-50.24, 49.09, 0
-50.51, 47.72, 0
-50.76, 45.86, 0
-50.87, 44.09, 0
-50.33, 42.08, 0
-49.75, 40.74, 0
-49.36, 39.73, 0
-49.02, 39.19, 0
-48.51, 38.86, 0
-47.34, 38.20, 0
-46.23, 37.89, 0
-44.80, 37.77, 0
-43.41, 37.51, 0
-42.57, 37.45, 0
-41.81, 37.40, 0
-41.20, 37.43, 0
-39.81, 37.39, 0
-38.33, 37.28, 0
-37.38, 37.20, 0
-36.75, 36.95, 0
-36.31, 36.84, 0
-35.55, 36.59, 0
-34.80, 36.24, 0
-34.06, 35.79, 0
-33.47, 35.52, 0
-32.96, 35.46, 0
-32.15, 35.47, 0
-31.23, 35.49, 0
-30.14, 35.43, 0
-29.43, 35.39, 0
-28.23, 35.35, 0
-27.49, 35.46, 0
-27.07, 35.07, 0
-27.26, 34.44, 0
-27.50, 34.00, 0
-27.71, 33.22, 0
-27.90, 32.67, 0
-28.26, 32.08, 0
-28.86, 31.10, 0
-29.10, 30.00, 0
